"type1","type2","wind_34_down","wind_34_50","wind_50_64","wind_64_up","node1","node2","node3","node4","node5","node6","node7","node8","node9","SVI","population","homeownership_rate","hwm","wind_50_up"
369,156,0,4,5,0,69.8712747983679,67.9985582282606,51.9900505617968,46.992796703637,57.360772406405,65.571053724533,71.4925854800953,82.9874381124183,105.055387338823,0.9911,131884,65.87819,5.45,5
86,40,1,4,2,2,55.3587087752192,58.4656175600888,59.6323775381552,68.981831974485,90.3007860763476,100.704593845718,109.698013496257,123.479633763289,146.789912294594,0.9723,63345,69.17912,11.32,4
71,43,0,9,0,0,91.7219947962336,90.1089944395522,73.6659598239304,65.877289690787,69.1745929949563,74.6099531817063,76.2764969908168,82.7362407005912,99.3411815622092,0.9936,34751,61.87896,5.09,0
6,3,8,1,0,0,143.209455473597,140.791554259205,121.146716745648,107.907841821162,98.6491182486873,97.9180286081755,91.019213613593,85.0719431666325,84.5361578531354,0.1873,235830,80.08553,0,0
55,30,2,4,3,0,70.7015365524137,76.1658895622448,84.3087560787394,96.42209676796,118.859085011712,129.392765486529,138.446453830822,151.947649265645,174.47639154887,0.9503,123237,61.61243,9,3
3,4,3,6,0,0,90.67626010698,96.5038997712333,105.225329392988,116.917934884009,138.533916171408,148.766871336976,157.071692121229,169.536535824087,190.567722100042,0.936,81392,57.87284,0,0
814,781,1,5,1,2,8.99660852084717,7.23253883038136,38.1876705543736,59.0213738584339,68.1015274649035,77.5503594052211,64.4328109836968,53.7305904966553,41.8547607714789,0.6727,25392,72.14661,4.5,3
25,38,3,6,0,0,118.073550153287,110.243066228234,89.2441007055677,83.2914250761199,71.7658584243159,77.6041676644205,79.5512154197919,71.9327559061624,70.8475379209539,0.5422,29722,74.10893,7.59,0
34,24,7,2,0,0,128.309451059612,114.98542221832,84.3875451904624,67.0735664634253,54.5191415511342,50.5996363422964,61.1320314086491,66.6070849013569,82.829535155246,0.7437,84585,77.41977,6.399,0
47,10,3,5,1,0,51.1459483887996,36.3686853628229,28.8348332767223,37.2638521996134,50.3666575704964,53.5807065971195,42.9621119688541,45.1797927460823,54.7436554549471,0.9201,32592,67.08815,0,1
1265,2685,3,6,0,0,104.676156089134,105.320894480543,101.57779659193,108.186356597946,102.232713363394,112.867001956346,107.66646056919,92.5293251324579,74.6508477149616,0.5186,361853,75.85325,11.85,0
